"No","Paragraf","Elemen Ke-","Kode","Jenis Kesalahan","Asli","Perbaikan","Penjelasan"
"1","4","57","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","kedalam","ke dalam","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"2","5","1","[KBBI-BTB]","[KBBI] Bentuk Takbaku","Musium","Museum","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"3","6","22","[SiPEBI-TBL]","[SiPEBI] Tanda Baca Lepas","didapat ,","didapat,","[SiPEBI] Tanda baca ini merupakan tanda baca yang lepas, perlu disambungkan dengan elemen/kata terdekatnya"
"4","6","24","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","diantaranya","di antaranya","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"5","6","60","[KBBI-BTB]","[KBBI] Bentuk Takbaku","kreatifitas","kreativitas","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"6","7","9","[KBBI-BTB]","[KBBI] Bentuk Takbaku","kreatifitas","kreativitas","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"7","7","20","[KBBI-BTB]","[KBBI] Bentuk Takbaku","kreatifitas","kreativitas","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"8","10","3","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","diatas","di atas","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"9","10","4","[SiPEBI-KKS]","[SiPEBI] Kata Konjungsi Subordinatif","penulis, maka","penulis maka","[SiPEBI] Kata yang digunakan merupakan kata konjungsi subordinatif, tidak perlu dituliskan dengan didahului koma pada kata sebelumnya"
"10","15","53","[KBBI-BTB]","[KBBI] Bentuk Takbaku","musium","museum","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"11","15","77","[KBBI-BTB]","[KBBI] Bentuk Takbaku","musium.","museum.","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"12","17","40","[KBBI-BTB]","[KBBI] Bentuk Takbaku","aktifitas","aktivitas","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"13","18","16","[SiPEBI-TBL]","[SiPEBI] Tanda Baca Lepas","yaitu :","yaitu:","[SiPEBI] Tanda baca ini merupakan tanda baca yang lepas, perlu disambungkan dengan elemen/kata terdekatnya"
"14","25","6","[KBBI-BTB]","[KBBI] Bentuk Takbaku","efektifitas","efektivitas","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
